"" "" "LR.summary.stat" "LR.summary.p.val" "p" "adj.p"
"1" "E4F1" "CCNL1" "11184.6010252622" "0" "0" "0"
"2" "TAL1" "NFIX" "689.817740820179" "0" "0" "0"
"3" "HMGA1" "FCGRT" "573.653598437945" "0" "0" "0"
"4" "NFIX" "RBM38" "544.623214776347" "0" "0" "0"
"5" "ETV2" "OAZ1" "411.942040067881" "0" "0" "0"
"6" "CBX5" "ORC6" "404.166918437527" "0" "0" "0"
"7" "JUNB" "ADD2" "392.94340831832" "0" "0" "0"
"8" "RORA" "ADD2" "382.322556187057" "0" "0" "0"
"9" "NFE2" "ADD2" "339.530087760601" "0" "0" "0"
"10" "FOS" "ADD2" "322.135150647383" "0" "0" "0"
"11" "NFE2L2" "ADD2" "306.958035976848" "0" "0" "0"
"12" "HMGA1" "MRPL51" "299.938314162586" "0" "0" "0"
"13" "KLF1" "NFIX" "194.932544622697" "0" "0" "0"
"14" "E4F1" "WASF2" "182.388566543813" "0" "0" "0"
"15" "HMGA1" "UBE2B" "175.470724186886" "0" "0" "0"
"16" "GATA1" "HBM" "157.315125695161" "0" "0" "0"
"17" "GATA1" "SDHC" "155.46438943856" "0" "0" "0"
"18" "RAD21" "ENY2" "154.345521213309" "0" "0" "0"
"19" "GATA1" "HBD" "149.735189730741" "0" "0" "0"
"20" "JUNB" "HBD" "145.181634300913" "0" "0" "0"
"21" "LMO2" "CLNS1A" "144.949376373681" "0" "0" "0"
"22" "HMGA1" "CCT6A" "141.592425873052" "0" "0" "0"
"23" "KLF1" "VDAC3" "139.38459877309" "0" "0" "0"
"24" "JUNB" "HBM" "138.81452134088" "0" "0" "0"
"25" "MAX" "NFIX" "130.672669729913" "0" "0" "0"
"26" "FOXJ2" "TMSB4X" "125.231500712589" "0" "0" "0"
"27" "GATA1" "PSMA2" "123.852567245894" "0" "0" "0"
"28" "KLF3" "NFIX" "121.737089029302" "0" "0" "0"
"29" "JUN" "PIP4K2A" "121.361536846001" "0" "0" "0"
"30" "FOSB" "ACTN4" "120.084384845965" "0" "0" "0"
"31" "HMGA1" "TRA2B" "115.724578919183" "0" "0" "0"
"32" "RXRA" "HMGA1" "114.938063392318" "0" "0" "0"
"33" "XBP1" "RBM3" "112.840723065555" "0" "0" "0"
"34" "TAL1" "FAM210B" "112.772653487202" "0" "0" "0"
"35" "SREBF1" "C5orf15" "112.364909208636" "0" "0" "0"
"36" "MYB" "CLNS1A" "112.289178254608" "0" "0" "0"
"37" "GFI1B" "ERGIC3" "111.101087925263" "0" "0" "0"
"38" "BPTF" "NUP85" "107.450312971567" "0" "0" "0"
"39" "JUN" "SRSF7" "106.196215203689" "0" "0" "0"
"40" "GABPA" "PRDX6" "105.26240625085" "0" "0" "0"
"41" "HBP1" "ERGIC3" "104.297234313211" "0" "0" "0"
"42" "NFE2" "HBD" "102.461066702194" "0" "0" "0"
"43" "HMGA1" "RBMX" "101.340679587338" "0" "0" "0"
"44" "NFE2" "HBM" "100.853629390956" "0" "0" "0"
"45" "IRF2" "HNRNPA3" "100.322689622835" "0" "0" "0"
"46" "LYL1" "FAM210B" "98.570511050116" "0" "0" "0"
"47" "IRF7" "MARCH8" "98.1860631834209" "0" "0" "0"
"48" "JUN" "SESN3" "97.6884083950044" "0" "0" "0"
"49" "FOXO3" "LPCAT3" "94.3157602803979" "0" "0" "0"
"50" "SOX6" "MARCH8" "93.4693271540034" "0" "0" "0"
"51" "SMAD2" "ERH" "92.3427670703109" "0" "0" "0"
"52" "ELF1" "UBA52" "90.2271564686402" "0" "0" "0"
"53" "CREB3L2" "HBA2" "88.8740723578841" "0" "0" "0"
"54" "GFI1B" "SNRPA1" "88.3856359144387" "0" "0" "0"
"55" "CBX5" "RNASEH2B" "87.1134523622004" "0" "0" "0"
"56" "RFX3" "ANAPC11" "84.8235849304762" "0" "0" "0"
"57" "ZBTB7B" "UBA52" "84.3964902071589" "0" "0" "0"
"58" "ATF4" "ACTN4" "84.3255761059168" "0" "0" "0"
"59" "TAL1" "CCNL1" "84.2935366529035" "0" "0" "0"
"60" "IKZF1" "HNRNPA3" "82.3023525360661" "0" "0" "0"
"61" "HMGA1" "VDAC3" "81.8992571768928" "0" "0" "0"
"62" "ZBTB7A" "APLP2" "81.7630596353313" "0" "0" "0"
"63" "HSF1" "EMC9" "81.6654616412985" "0" "0" "0"
"64" "RAD21" "DUT" "80.756704944801" "0" "0" "0"
"65" "MYBL2" "DNMT1" "80.6393242360958" "0" "0" "0"
"66" "MAZ" "NDUFB7" "79.8835195034221" "0" "0" "0"
"67" "SOX6" "LGALS3" "79.5065296999812" "0" "0" "0"
"68" "RFX3" "WASF2" "79.2825124628484" "0" "0" "0"
"69" "SREBF1" "CCT2" "79.193256202671" "0" "0" "0"
"70" "CREM" "HNRNPA3" "77.9248444342953" "1.11022302462516e-16" "0" "0"
"71" "HMGA1" "NDUFA9" "77.5548030178131" "1.11022302462516e-16" "0" "0"
"72" "FOS" "MRPS34" "77.3739168584814" "1.11022302462516e-16" "0" "0"
"73" "KLF3" "VDAC3" "76.8480222604277" "1.11022302462516e-16" "0" "0"
"74" "ATF1" "ERGIC3" "74.5721430171336" "4.44089209850063e-16" "0" "0"
"75" "MXI1" "SUMO2" "74.4582445283279" "4.44089209850063e-16" "0" "0"
"76" "KLF1" "APLP2" "74.3315032787453" "5.55111512312578e-16" "0" "0"
"77" "NFIX" "DNMT1" "74.103929429855" "5.55111512312578e-16" "0" "0"
"78" "ATF1" "HNRNPA3" "73.2485718973979" "8.88178419700125e-16" "0" "0"
"79" "NFIX" "R3HDM4" "72.6398975979563" "1.11022302462516e-15" "0" "0"
"80" "TRIM28" "ACTN4" "71.3971966625028" "2.1094237467878e-15" "0" "0"
"81" "MXI1" "VDAC3" "70.6435405736968" "3.10862446895044e-15" "0" "0"
"82" "NFIX" "SH3BGRL3" "70.1644815097187" "3.88578058618805e-15" "0" "0"
"83" "SP2" "UBA52" "70.0773425484095" "4.10782519111308e-15" "0" "0"
"84" "FOSB" "PCGF5" "69.8589067399155" "4.55191440096314e-15" "0" "0"
"85" "IKZF1" "POLR2L" "68.8636930419492" "7.43849426498855e-15" "0" "0"
"86" "SMAD2" "TRAPPC2L" "68.4181075782303" "9.32587340685131e-15" "0" "0"
"87" "NR3C1" "ACTN4" "67.4148452709271" "1.52100554373646e-14" "0" "0"
"88" "GATA1" "C9orf78" "66.9900879047232" "1.87627691161651e-14" "0" "0"
"89" "LYL1" "EIF1" "66.3144984900906" "2.62012633811537e-14" "0" "0"
"90" "TAL1" "MRPS34" "64.9176476805747" "5.22915044598449e-14" "0" "0"
"91" "SOX6" "POLR2L" "64.0172722665473" "8.1379347705024e-14" "0" "0"
"92" "HSF1" "PIP4K2A" "63.2298094040098" "1.19904086659517e-13" "0" "0"
"93" "KLF1" "SH3BGRL3" "63.1183401377405" "1.2667644710973e-13" "0" "0"
"94" "SOX6" "CCT2" "62.4503002148067" "1.7608137170555e-13" "0" "0"
"95" "JUN" "R3HDM4" "62.0969608443008" "2.09499084746767e-13" "0" "0"
"96" "NFE2" "PIP4K2A" "61.7475042437343" "2.48800979818498e-13" "0" "0"
"97" "NFIX" "CCNDBP1" "61.3115419132972" "3.08308933938406e-13" "0" "0"
"98" "HMGA1" "MTHFD1" "61.3050734354397" "3.09308134660569e-13" "0" "0"
"99" "E2F4" "NFIX" "61.1765582589838" "3.29514193708746e-13" "0" "0"
"100" "MXI1" "SLC25A6" "61.0941894572759" "3.43169936911636e-13" "0" "0"
"101" "JUNB" "MRPS34" "60.8412544442705" "3.88578058618805e-13" "0" "0"
"102" "NFIA" "HBM" "60.7145422945541" "4.13558076672871e-13" "0" "0"
"103" "MAX" "SNRPD2" "60.5654174832329" "4.45088410572225e-13" "0" "0"
"104" "SP100" "MRPS34" "58.8674978672224" "1.02606811935857e-12" "0" "0"
"105" "FOSB" "RBM3" "58.6626520418008" "1.13475895346937e-12" "0" "0"
"106" "CTCF" "LSM7" "58.3595324456157" "1.31716859641529e-12" "0" "0"
"107" "SP4" "HBA2" "57.876691785389" "1.67010849594362e-12" "0" "0"
"108" "USF2" "C9orf78" "57.6517058555102" "1.86539672597519e-12" "0" "0"
"109" "MXI1" "MRPL11" "56.8400600931473" "2.78010947596385e-12" "0" "0"
"110" "HBP1" "SNRPD2" "56.7396457175541" "2.9206637108814e-12" "0" "0"
"111" "CBX5" "CCT6A" "56.7006006724612" "2.97728508513728e-12" "0" "0"
"112" "NFIX" "SNRPD2" "56.5642988871359" "3.18356452311264e-12" "0" "0"
"113" "USF2" "RPS12" "55.6934335290259" "4.88387108532606e-12" "0" "0"
"114" "NFE2" "SNRPA1" "54.9106862951432" "7.1741501628253e-12" "0" "0"
"115" "CREM" "FUS" "54.5344904731048" "8.63009663731873e-12" "0" "0"
"116" "E4F1" "CCT6A" "54.0042034019317" "1.11974873817644e-11" "0" "0"
"117" "RXRA" "R3HDM4" "53.8334755056144" "1.21767040894838e-11" "0" "0"
"118" "CTCF" "LPCAT3" "53.3042175049718" "1.57901469677313e-11" "0" "0"
"119" "FOXO3" "ERH" "52.783948154769" "2.0384915977445e-11" "0" "0"
"120" "KLF3" "R3HDM4" "52.7767877282211" "2.04566363848357e-11" "0" "0"
"121" "XBP1" "CCNL1" "52.4103417856254" "2.44877451649472e-11" "0" "0"
"122" "TAL1" "R3HDM4" "52.1228231589316" "2.81988876693617e-11" "0" "0"
"123" "MYB" "PRPF8" "52.0797481479947" "2.88012946825233e-11" "0" "0"
"124" "LMO2" "MCTS1" "51.7869363387932" "3.32518457213382e-11" "0" "0"
"125" "MAZ" "R3HDM4" "51.5896193470299" "3.66322527867169e-11" "0" "0"
"126" "MGA" "HBA2" "51.4220088403329" "3.97721855449618e-11" "0" "0"
"127" "ATF1" "ILF2" "51.1850491086482" "4.46753745109163e-11" "0" "0"
"128" "JUNB" "POLR2L" "50.097992149344" "7.61434248985893e-11" "0" "0"
"129" "MXI1" "SNRPD2" "49.5744775229869" "9.84278214488654e-11" "0" "0"
"130" "TAL1" "RPA3" "48.3331247147851" "1.80875425748184e-10" "0" "0"
"131" "NFIX" "HBA1" "47.9547952458485" "2.17717510686555e-10" "0" "0"
"132" "KLF13" "NDUFB7" "47.7539007980139" "2.40237718607261e-10" "0" "0"
